6, 1, 0.000000, 0.000000, 0.00, 0.00, 1, 0.00, 1500, 1500, 1500, 177.50, 13168.75, 0.00, 13167.50
8, 0, 40.316036, -87.699760, 27.40, 0.00, 1, 0.00, 1500, 1500, 1520, 161.25, 13165.00, 0.00, 13163.75
9, 0, 40.316036, -87.699760, 26.06, 0.00, 1, 0.00, 1500, 1500, 1520, 158.75, 13168.75, 0.00, 13165.00
10, 0, 40.316036, -87.699760, 28.09, 0.00, 1, 0.00, 1500, 1500, 1520, 207.50, 13148.75, 0.00, 13162.50
11, 0, 40.316034, -87.699760, 27.19, 0.00, 1, 0.00, 1500, 1500, 1520, 243.75, 13161.25, 0.00, 13157.50
12, 0, 40.316034, -87.699760, 27.70, 0.00, 1, 0.00, 1500, 1500, 1520, 176.25, 13165.00, 0.00, 13165.00
13, 0, 40.316034, -87.699760, 27.94, 0.00, 1, 0.00, 1500, 1500, 1520, 168.75, 13168.75, 0.00, 13166.25
14, 0, 40.316034, -87.699760, 28.15, 0.00, 1, 0.00, 1500, 1500, 1520, 157.50, 13165.00, 0.00, 13161.25
15, 0, 40.316034, -87.699760, 24.99, 0.00, 1, 0.00, 1500, 1500, 1520, 172.50, 13166.25, 0.00, 13161.25
17, 0, 40.316034, -87.699760, 27.24, 0.00, 1, 0.00, 1500, 1500, 1520, 183.75, 13166.25, 0.00, 13165.00
18, 0, 40.316034, -87.699760, 29.05, 0.00, 1, 0.00, 1500, 1500, 1520, 157.50, 13166.25, 0.00, 13165.00
19, 0, 40.316034, -87.699760, 25.08, 0.00, 1, 0.00, 1500, 1500, 1520, 158.75, 13166.25, 1.25, 13165.00
20, 0, 40.316034, -87.699760, 27.57, 0.00, 1, 0.00, 1500, 1500, 1520, 160.00, 13168.75, 0.00, 13163.75
21, 0, 40.316032, -87.699760, 25.38, 0.00, 1, 0.00, 1500, 1500, 1520, 162.50, 13167.50, 0.00, 13165.00
22, 0, 40.316034, -87.699760, 24.13, 0.00, 1, 0.00, 1500, 1500, 1520, 168.75, 13143.75, 0.00, 13147.50
23, 0, 40.316032, -87.699760, 25.27, 0.00, 1, 0.00, 1500, 1500, 1520, 172.50, 13167.50, 0.00, 13166.25
24, 0, 40.316032, -87.699760, 24.24, 0.00, 1, 0.00, 1500, 1500, 1520, 283.75, 13155.00, 0.00, 13158.75
25, 0, 40.316034, -87.699753, 26.44, 0.00, 1, 0.00, 1500, 1500, 1520, 162.50, 13166.25, 0.00, 13163.75
27, 1, 40.316034, -87.699753, 23.46, 44.66, 1, 13.83, 1600, 1600, 1776, 290.00, 13153.75, 0.00, 13150.00
28, 1, 40.316036, -87.699753, 23.76, 44.66, 1, 14.64, 1775, 1775, 1792, 841.25, 13082.50, 1.25, 13083.75
29, 1, 40.316036, -87.699753, 28.39, 44.66, 1, 15.19, 1925, 1925, 1803, 850.00, 13080.00, 0.00, 13082.50
30, 1, 40.316038, -87.699753, 27.87, 44.66, 1, 15.87, 2000, 2000, 1817, 847.50, 13070.00, 0.00, 13076.25
31, 1, 40.316040, -87.699753, 26.18, 44.66, 1, 16.73, 2000, 2000, 1834, 958.75, 13076.25, 2.50, 13082.50
32, 1, 40.316040, -87.699753, 23.94, 44.66, 1, 16.87, 2000, 2000, 1837, 987.50, 13052.50, 0.00, 13071.25
33, 1, 40.316042, -87.699745, 27.40, 44.66, 1, 17.62, 2000, 2000, 1852, 945.00, 13062.50, 0.00, 13072.50
34, 1, 40.316042, -87.699745, 27.19, 44.66, 1, 18.58, 2000, 2000, 1871, 907.50, 13078.75, 1.25, 13073.75
35, 1, 40.316042, -87.699745, 26.93, 44.66, 1, 19.89, 2000, 2000, 1897, 952.50, 13071.25, 0.00, 13075.00
36, 1, 40.316044, -87.699745, 28.41, 44.66, 1, 20.97, 2000, 2000, 1919, 895.00, 13043.75, 0.00, 13048.75
37, 1, 40.316044, -87.699745, 28.80, 44.66, 1, 21.67, 2000, 2000, 1933, 968.75, 13070.00, 0.00, 13076.25
38, 0, 40.316044, -87.699745, 28.52, 44.66, 1, 21.59, 1950, 1950, 1520, 663.75, 13085.00, 0.00, 13086.25
39, 0, 40.316044, -87.699745, 27.03, 44.66, 1, 21.59, 1775, 1775, 1520, 550.00, 13107.50, 1.25, 13111.25
41, 0, 40.316046, -87.699745, 26.83, 44.66, 1, 21.59, 1600, 1600, 1520, 280.00, 13146.25, 1.25, 13142.50
42, 0, 40.316046, -87.699738, 25.08, 44.66, 1, 21.59, 1500, 1500, 1520, 163.75, 13161.25, 0.00, 13158.75
43, 0, 40.316048, -87.699738, 26.38, 44.66, 1, 21.59, 1500, 1500, 1520, 163.75, 13162.50, 0.00, 13158.75
44, 0, 40.316048, -87.699738, 27.03, 44.66, 1, 21.59, 1500, 1500, 1520, 162.50, 13161.25, 0.00, 13157.50
45, 0, 40.316048, -87.699738, 23.53, 44.66, 1, 21.59, 1500, 1500, 1520, 176.25, 13161.25, 0.00, 13157.50
46, 0, 40.316050, -87.699738, 27.70, 44.66, 1, 21.59, 1500, 1500, 1520, 168.75, 13162.50, 0.00, 13160.00
47, 0, 40.316050, -87.699738, 25.57, 44.66, 1, 21.59, 1500, 1500, 1520, 167.50, 13162.50, 0.00, 13161.25
48, 0, 40.316050, -87.699738, 25.46, 44.66, 1, 21.59, 1500, 1500, 1520, 161.25, 13161.25, 1.25, 13158.75
