40.316038, -87.699753, 2015
41.496683, -86.322052, 86310
41.496677, -86.322029, 78748
41.496689, -86.322052, 86765
41.496695, -86.322052, 72526
41.496695, -86.322052, 92333
41.496693, -86.322044, 80189
41.496706, -86.322052, 40674
41.496696, -86.322083, 77069
41.496574, -86.322014, 81567
41.496538, -86.322067, 93656
41.496511, -86.322212, 88323
41.496450, -86.322380, 82532
41.496479, -86.322411, 96812
41.496487, -86.322411, 91865
41.496464, -86.322479, 89896
41.496462, -86.322533, 93694
41.496468, -86.322563, 2189
41.496445, -86.322578, 1667
41.496426, -86.322624, 2495
41.496309, -86.322914, 4953
41.496183, -86.323204, 4617
41.496077, -86.323494, 2436
41.495974, -86.323792, 2612
41.495901, -86.324097, 2868
41.495789, -86.324379, 2848
41.495668, -86.324654, 2860
41.495556, -86.324928, 2941
41.495464, -86.325211, 3157
41.495398, -86.325508, 3146
41.495192, -86.325432, 2799
41.494940, -86.325394, 3013
41.494991, -86.325134, 3012
41.495049, -86.324821, 2855
41.495106, -86.324516, 2667
41.495184, -86.324211, 2519
41.495266, -86.323906, 2473
41.495342, -86.323601, 2512
41.495426, -86.323326, 78673
41.495548, -86.323044, 2386
41.495407, -86.322906, 2248
41.495205, -86.322754, 2196
41.495054, -86.322762, 2207
41.494949, -86.322998, 2037
41.494841, -86.323219, 1994
41.494732, -86.323448, 2175
41.494642, -86.323654, 1921
41.494556, -86.323448, 2027
41.494427, -86.323273, 2065
41.494286, -86.323097, 1854
41.494146, -86.322937, 1599
41.494003, -86.322777, 1823
41.493904, -86.322678, 2883
41.493896, -86.322655, 4171
41.493860, -86.322624, 4529
41.493832, -86.322617, 1475
41.493835, -86.322632, 79173
41.493832, -86.322678, 1733
41.493834, -86.322685, 2096
41.493826, -86.322685, 3664
41.493828, -86.322678, 1620
41.493830, -86.322685, 1799
41.493832, -86.322693, 1403
41.493832, -86.322685, 1347
41.493826, -86.322678, 1817
41.493828, -86.322685, 1296
41.493828, -86.322693, 5073
41.493835, -86.322693, 1218
41.493834, -86.322701, 973
41.493828, -86.322693, 1370
41.493834, -86.322693, 1508
41.493845, -86.322685, 1099
41.493851, -86.322693, 2254
41.493856, -86.322716, 1857
41.493860, -86.322723, 1582
41.493862, -86.322723, 1009
41.493864, -86.322708, 1565
41.493818, -86.322678, 5313
41.493822, -86.322678, 1650
41.493847, -86.322701, 1282
41.493856, -86.322708, 1584
41.493958, -86.322639, 1472
41.493980, -86.322495, 1455
41.493988, -86.322441, 40141
41.493994, -86.322449, 1525
41.494015, -86.322456, 7722
41.494009, -86.322289, 1768
41.494072, -86.322380, 1989
41.494085, -86.322418, 1713
41.494091, -86.322418, 1687
41.494101, -86.322418, 2035
41.494112, -86.322418, 878
41.494129, -86.322411, 1158
41.494129, -86.322418, 4664
41.494143, -86.322418, 41239
41.494158, -86.322464, 1495
41.494173, -86.322594, 1635
41.494165, -86.322701, 4967
41.494184, -86.322739, 1765
41.494221, -86.322792, 1700
41.494337, -86.322624, 1356
41.494547, -86.322769, 1777
41.494635, -86.322838, 1857
41.494669, -86.322884, 1799
41.494692, -86.322823, 1739
41.494923, -86.322853, 2239
41.495064, -86.323112, 2327

